Nd			Dg			Cq			Cc			H1			Sn
19			4			4			0.5			3			3
1			6			4			0.33			5			3
1751			3			4			1.0			5			3
2408			5			4			0.4			5			3
3078			3			3			0.33			6			2
3609			4			4			0.67			6			3
3958			5			4			0.4			6			3
612			4			4			0.67			6			3
2			4			4			0.5			6			3
2405			1			2			1			6			1
3096			8			5			0.36			8			4
3696			4			4			0.67			8			3
222			6			6			0.73			9			5
3			5			6			1.0			11			5
743			21			6			0.13			14			5
1829			11			6			0.24			16			5
2036			22			6			0.13			21			5
2037			28			6			0.09			22			5
1742			4			5			1.0			22			4
4			4			5			1.0			22			4
3017			4			5			1.0			22			4
3928			4			5			1.0			22			4
4043			8			5			0.32			22			4
3230			4			3			0.17			22			2
5			1			2			1			22			1
98			48			44			0.88			43			43
6			49			44			0.83			48			43
118			55			44			0.7			53			43
190			17			8			0.43			54			9
251			56			44			0.65			56			43
351			47			44			0.92			60			43
437			65			44			0.54			62			43
471			45			44			0.99			65			43
530			49			44			0.86			66			43
674			54			44			0.7			66			43
675			6			4			0.33			66			5
738			45			43			0.92			67			42
740			43			44			1.0			67			43
1003			46			44			0.95			68			43
1065			68			44			0.47			68			43
1104			45			44			0.99			68			43
1267			56			44			0.68			68			43
1420			45			44			0.99			68			43
1554			68			44			0.49			69			43
1760			49			44			0.84			73			43
1784			45			44			0.99			77			43
1924			77			44			0.39			77			43
1943			48			44			0.88			77			43
1974			2			3			1.0			77			2
1995			57			44			0.66			77			43
2005			45			44			0.99			77			43
2212			46			44			0.95			77			43
2251			60			44			0.6			77			43
2277			62			44			0.58			77			43
2387			45			44			0.99			77			43
2754			66			44			0.49			77			43
2760			45			44			0.99			77			43
2954			22			8			0.3			77			9
2978			44			13			0.21			77			12
2985			47			44			0.91			77			43
3075			63			44			0.53			77			43
3175			45			44			0.99			77			43
3207			45			44			0.99			77			43
3284			45			44			0.99			77			43
3298			47			44			0.92			77			43
3348			81			44			0.36			77			43
3388			79			44			0.35			77			43
3419			67			44			0.5			77			43
3488			48			44			0.89			79			43
3614			77			44			0.36			79			43
3654			47			44			0.92			79			43
3715			53			44			0.73			79			43
3952			51			44			0.8			79			43
4012			56			44			0.68			79			43
4080			51			44			0.78			79			43
7			42			43			1.0			79			42
433			33			4			0.05			79			4
8			7			3			0.19			79			4
1063			11			5			0.25			79			4
1217			2			3			1.0			79			2
2044			11			3			0.05			79			3
2477			18			5			0.12			79			5
3799			4			4			0.67			79			4
4034			7			4			0.24			79			4
70			4			5			1.0			79			4
9			7			5			0.33			79			4
71			2			3			1.0			79			2
1801			8			5			0.43			79			4
3521			9			4			0.17			79			4
3719			4			5			1.0			79			4
3954			4			5			1.0			79			4
4081			8			4			0.18			79			4
775			4			3			0.17			79			2
10			2			3			1.0			79			2
2369			5			3			0.2			79			2
526			2			2			0			79			1
11			1			2			1			79			1
2681			6			4			0.27			79			3
12			1			2			1			79			1
1318			13			4			0.12			79			4
13			4			4			0.5			79			3
1413			7			4			0.29			79			3
1895			3			4			1.0			79			3
2710			14			4			0.11			79			4
1400			3			3			0.33			79			2
14			2			3			1.0			79			2
1822			13			4			0.18			79			4
865			10			5			0.18			79			4
15			2			3			1.0			79			2
3184			5			3			0.3			79			3
312			42			34			0.89			79			33
16			42			34			0.89			79			33
367			42			34			0.89			79			33
384			34			32			0.83			79			31
406			42			34			0.89			79			33
408			42			34			0.89			79			33
707			31			32			1.0			79			31
779			42			34			0.89			79			33
848			33			34			1.0			79			33
1025			42			34			0.89			79			33
1049			49			34			0.66			79			33
1170			42			34			0.89			79			33
1193			28			26			0.81			79			25
1227			42			34			0.89			79			33
1395			33			34			1.0			79			33
1486			31			32			1.0			79			31
1536			42			34			0.89			79			33
1560			41			34			0.9			79			33
1617			43			34			0.85			79			33
1946			42			34			0.89			79			33
1982			33			34			1.0			79			33
2234			31			32			1.0			79			31
2248			42			34			0.89			79			33
2281			42			34			0.89			79			33
2321			59			34			0.46			79			33
2322			33			34			1.0			79			33
2358			34			34			0.98			79			33
2430			41			34			0.9			79			33
2561			42			34			0.89			79			33
2777			42			34			0.89			79			33
2868			42			34			0.89			79			33
2907			36			32			0.75			79			31
2971			34			32			0.84			79			31
