Nd			Dg			Cq			Cc			H1			Sn
0			94			6			0.06			31			15
1			66			7			0.12			36			10
111			345			17			0.05			68			28
219			38			5			0.12			70			16
337			60			7			0.09			70			10
740			36			5			0.13			71			10
1879			57			7			0.09			72			10
2298			341			17			0.05			89			28
4023			39			8			0.15			92			17
4073			39			6			0.09			94			15
5682			22			5			0.19			94			12
5683			42			4			0.03			94			12
5735			62			7			0.14			94			10
5820			113			10			0.04			97			17
6078			103			14			0.1			103			20
7250			199			17			0.1			111			28
9361			52			7			0.1			111			10
9412			31			7			0.31			115			18
9427			29			9			0.35			118			19
9593			19			6			0.26			118			14
10630			13			6			0.46			118			10
10644			57			9			0.1			124			12
10647			62			5			0.07			125			14
10969			22			5			0.2			125			13
15428			36			4			0.04			125			10
15920			41			7			0.1			125			15
15935			44			7			0.13			125			10
17078			36			4			0.08			125			7
17184			12			4			0.14			125			5
17909			42			6			0.16			125			10
19016			44			5			0.09			125			11
19232			39			4			0.05			125			11
19277			41			5			0.09			125			11
20130			22			5			0.11			125			6
21642			18			4			0.08			125			9
21646			10			4			0.22			127			10
21786			16			4			0.19			127			12
22490			55			7			0.14			127			10
23786			89			6			0.06			127			15
23787			10			5			0.29			127			5
23798			8			4			0.29			127			5
24152			18			7			0.19			129			9
25285			39			7			0.13			129			15
27107			13			4			0.19			129			9
27108			14			4			0.21			129			9
28420			30			5			0.09			129			10
29225			33			5			0.14			129			15
29981			20			5			0.16			129			12
30816			30			8			0.22			131			17
32418			17			6			0.3			131			10
33191			23			4			0.09			132			8
33394			13			4			0.29			132			11
33529			23			5			0.23			132			11
34177			25			5			0.11			133			12
35836			18			6			0.39			133			10
39054			13			4			0.08			134			5
48495			29			7			0.2			137			10
50217			23			10			0.28			142			13
55229			20			6			0.28			142			10
57561			18			5			0.18			142			12
58120			9			4			0.36			143			6
58373			6			3			0.07			143			3
62759			3			4			1.0			143			3
65117			39			7			0.14			143			15
65121			41			6			0.12			143			15
65725			27			6			0.16			145			12
68216			14			4			0.14			145			6
70665			14			4			0.13			145			9
73603			19			3			0.06			145			10
74095			20			5			0.16			145			13
74096			9			4			0.19			145			6
77084			8			4			0.39			145			8
77572			8			4			0.39			146			6
82600			7			5			0.43			146			5
82613			8			4			0.11			146			4
88708			9			4			0.17			146			5
91167			8			4			0.29			146			7
91168			8			4			0.29			146			7
91234			9			5			0.31			146			8
94244			26			4			0.19			146			15
97445			19			6			0.2			146			10
98313			7			4			0.38			147			6
98718			5			3			0.2			147			3
99231			27			6			0.26			151			17
103258			4			3			0.17			151			4
105191			6			4			0.6			151			5
105195			3			4			1.0			151			3
105254			6			4			0.33			151			4
108614			28			6			0.17			153			10
108615			18			5			0.22			153			10
114882			9			4			0.14			154			6
131287			9			4			0.08			154			4
136472			11			4			0.07			154			7
159892			12			3			0.12			154			11
159910			3			4			1.0			154			3
162			29			7			0.31			154			10
163			11			6			0.62			154			8
287			18			4			0.07			154			10
502			8			6			0.71			154			8
741			7			5			0.71			154			7
752			7			4			0.43			154			6
1880			13			5			0.37			154			10
1947			19			7			0.36			154			10
2438			13			5			0.32			154			10
3613			17			7			0.37			154			10
5176			19			7			0.36			154			10
5180			21			7			0.46			154			10
5182			14			5			0.19			154			8
5188			15			6			0.3			154			8
5189			18			6			0.31			154			8
5196			15			6			0.3			154			8
5737			6			4			0.6			154			6
6111			7			4			0.14			154			6
7617			12			6			0.38			154			8
7705			17			5			0.12			154			10
8415			8			6			0.71			154			8
9362			9			5			0.42			154			8
9547			13			5			0.24			154			7
9553			13			6			0.41			154			8
9558			9			5			0.36			154			7
9854			10			5			0.33			154			7
10638			11			5			0.36			154			8
10834			10			5			0.33			154			8
10865			24			5			0.08			154			10
13574			2			3			1.0			154			2
15593			11			7			0.56			154			9
16638			8			5			0.46			154			7
18120			13			5			0.18			154			6
18143			10			6			0.58			154			8
20494			9			6			0.75			154			8
20720			13			5			0.41			154			9
20800			11			6			0.42			154			8
22358			9			5			0.44			154			7
29102			7			5			0.62			154			7
29851			13			6			0.41			154			8
30205			18			7			0.39			154			10
31136			4			4			0.5			154			4
33075			15			4			0.09			154			9
34603			7			4			0.43			154			6
41614			7			5			0.48			154			6
42778			11			7			0.67			154			10
45224			6			4			0.33			154			6
51917			14			5			0.18			154			10
53094			11			5			0.38			154			9
56305			9			5			0.5			154			7
62631			6			4			0.6			154			6
62634			5			4			0.7			154			5
62635			12			4			0.15			154			6
62636			8			5			0.61			154			8
62640			10			5			0.47			154			7
74993			8			6			0.71			154			8
99523			2			2			0			154			2
101707			5			4			0.5			154			4
109540			4			4			0.67			154			4
2			7			3			0.38			154			4
3			1			2			1			154			1
34878			16			4			0.08			154			6
34907			19			4			0.11			154			6
92735			6			3			0.13			154			4
94214			6			3			0.13			154			4
106673			6			3			0.13			154			4
115628			6			3			0.13			154			4
4			13			4			0.12			156			4
5			4			3			0.17			156			3
239			3			3			0.33			156			3
680			5			3			0.3			156			3
776			397			8			0.01			163			24
1008			224			8			0.03			167			26
31882			26			6			0.06			167			10
37023			1			2			1			167			1
39541			25			4			0.06			167			13
41419			4			4			0.5			167			3
68727			5			4			0.5			167			3
107498			5			4			0.4			167			3
134505			1			2			1			167			1
151588			2			3			1.0			167			2
110732			4			2			0			167			3
110735			2			2			0			167			1
6			780			6			0.01			167			32
7			37			5			0.04			182			32
12			31			4			0.03			199			27
38			32			4			0.02			202			29
51			34			4			0.03			216			30
104			16			5			0.17			221			16
182			45			4			0.13			226			20
241			218			6			0.02			227			28
308			38			5			0.03			252			30
406			299			9			0.04			256			24
409			177			8			0.04			261			23
578			39			6			0.09			279			32
869			10			4			0.22			283			9
1046			63			8			0.12			284			22
1059			30			5			0.04			296			26
1086			31			4			0.02			308			27
1091			36			5			0.04			329			30
1115			30			5			0.03			337			27
1482			37			5			0.03			344			32
1487			34			5			0.03			356			31
1492			46			6			0.06			367			31
1599			34			5			0.03			388			28
1924			38			5			0.03			397			32
1929			22			3			0.04			405			21
2011			36			5			0.04			411			32
2147			5			4			0.4			412			5
2152			38			5			0.05			414			29
2191			23			4			0.03			431			23
2192			33			5			0.03			451			29
2216			45			5			0.03			453			32
2234			35			4			0.03			470			31
2672			21			3			0.03			487			20
3028			19			5			0.14			490			19
3063			78			7			0.06			495			32
3079			39			5			0.02			499			32
3108			36			5			0.02			503			32
3114			24			4			0.03			503			23
3664			26			4			0.1			503			22
4281			40			4			0.02			508			32
4609			47			5			0.04			508			32
4726			58			5			0.04			508			23
4768			44			6			0.06			517			32
4795			36			4			0.02			517			32
4842			34			3			0.01			517			29
4877			6			4			0.27			519			4
5296			66			8			0.08			520			22
5318			28			4			0.04			523			25
5513			33			4			0.02			523			30
5516			35			3			0.03			527			23
5517			28			3			0.03			535			25
5625			24			3			0.02			535			24
5632			38			4			0.03			535			28
5633			23			3			0.03			538			21
5643			33			5			0.03			542			30
5651			22			3			0.02			542			22
5652			37			5			0.03			542			32
5766			33			5			0.05			542			27
5767			22			4			0.06			552			22
5768			8			3			0.11			555			8
5769			26			5			0.04			566			26
5783			17			5			0.06			568			17
5784			36			6			0.08			568			30
5792			24			4			0.05			568			23
5801			24			4			0.03			568			23
5938			30			6			0.09			568			30
6144			21			4			0.06			568			21
6422			38			4			0.04			568			32
6434			40			5			0.04			568			30
6594			22			3			0.03			568			21
6618			44			5			0.03			568			32
6698			49			5			0.03			569			32
6706			40			5			0.04			578			32
6716			44			5			0.03			584			31
7056			10			4			0.36			584			10
7151			24			4			0.03			584			19
7152			7			4			0.62			584			7
7531			27			3			0.02			584			22
7995			11			4			0.18			584			11
8438			25			3			0.04			584			21
8441			841			5			0.0			584			32
8442			17			3			0.04			584			16
8456			12			3			0.06			584			10
8465			15			3			0.05			586			15
8466			20			4			0.14			589			20
8468			23			4			0.04			597			23
8478			38			5			0.03			605			32
8486			30			5			0.03			613			29
8490			27			4			0.04			621			23
8807			21			6			0.13			629			19
8815			27			4			0.02			632			27
8817			16			4			0.04			632			16
8822			15			3			0.03			632			15
8826			25			5			0.04			632			25
8827			22			4			0.03			632			22
8830			25			4			0.02			632			25
8831			20			3			0.02			632			20
8837			23			4			0.03			632			23
8838			26			3			0.02			632			26
8839			26			5			0.03			632			26
8840			29			5			0.03			633			29
8848			23			3			0.02			640			23
8855			28			5			0.03			647			28
8856			27			3			0.02			654			27
8862			32			4			0.03			661			30
8863			26			4			0.02			668			25
8864			26			3			0.02			675			26
8865			24			4			0.03			682			24
8866			24			3			0.03			689			23
8867			26			4			0.02			696			26
8872			27			4			0.03			696			26
8873			27			4			0.03			696			27
8874			28			5			0.03			696			28
8879			29			5			0.03			696			29
8880			25			4			0.03			696			25
8881			27			3			0.02			696			27
8882			26			4			0.02			696			26
8883			15			3			0.03			696			15
8884			25			4			0.03			696			25
8885			23			3			0.04			696			22
8910			18			5			0.05			696			18
9097			32			5			0.06			696			26
9100			44			5			0.05			696			28
9107			31			4			0.06			696			23
9121			16			4			0.04			696			16
9122			21			5			0.08			700			21
9123			33			6			0.09			706			29
9171			22			4			0.04			710			20
9271			27			4			0.1			710			23
9391			33			5			0.07			710			28
9416			33			5			0.03			710			27
9513			32			4			0.02			710			28
9533			31			5			0.03			710			30
9535			36			4			0.02			710			32
9542			25			3			0.03			710			23
9659			30			4			0.05			710			24
9660			11			4			0.35			710			10
9691			120			7			0.04			710			24
9876			32			4			0.03			710			28
10274			40			5			0.03			710			32
10275			37			5			0.03			710			29
10298			34			4			0.03			710			30
10743			28			4			0.03			710			27
10749			39			5			0.03			710			32
10754			4			3			0.17			710			3
10797			26			4			0.04			710			24
10803			152			7			0.04			710			22
10894			568			5			0.0			710			32
10919			25			3			0.03			710			22
11069			33			5			0.03			710			28
11323			24			6			0.09			710			15
11711			51			6			0.13			710			29
11742			17			4			0.07			710			16
11805			49			5			0.03			715			32
11870			29			4			0.09			720			27
11872			26			3			0.02			725			22
11876			35			4			0.05			730			28
11882			42			5			0.02			733			32
11973			29			5			0.03			733			27
12001			35			4			0.02			733			31
12130			19			3			0.03			733			19
12151			20			3			0.03			733			20
12155			21			3			0.02			733			21
12156			9			3			0.03			733			9
12158			15			3			0.03			733			15
12164			15			4			0.14			733			15
12168			8			3			0.04			733			8
12188			9			3			0.03			733			8
12189			18			3			0.03			733			18
12190			9			3			0.03			733			9
12191			16			3			0.03			733			16
12192			9			3			0.03			733			9
12193			29			4			0.04			733			25
12194			18			3			0.03			733			18
12195			14			5			0.09			733			14
12203			10			3			0.02			733			10
12204			20			3			0.04			733			20
12205			24			3			0.03			733			21
12206			17			3			0.03			733			17
12207			21			3			0.03			733			21
12208			9			3			0.03			733			9
12209			24			3			0.02			733			24
12216			20			3			0.02			733			20
12217			20			3			0.03			733			20
12218			14			3			0.03			733			14
12219			19			3			0.04			733			18
12224			27			3			0.02			733			27
12225			9			3			0.03			733			9
12226			18			3			0.03			733			18
12227			22			3			0.02			733			22
12228			21			3			0.02			733			21
12229			18			3			0.03			733			18
12235			21			3			0.02			737			21
12240			20			3			0.02			741			20
12252			27			4			0.03			742			25
12255			29			5			0.07			742			23
12256			20			3			0.02			742			20
12265			22			3			0.03			742			22
12266			7			2			0			742			7
12272			46			5			0.04			742			32
12273			39			5			0.04			742			32
12280			53			6			0.04			742			29
12284			40			4			0.03			742			27
12289			36			4			0.04			742			28
12291			41			5			0.05			742			30
12310			42			5			0.05			742			32
12434			14			4			0.15			742			14
12435			17			3			0.04			742			17
12436			29			4			0.07			742			24
12442			26			4			0.04			742			26
12443			11			3			0.05			742			11
12447			14			4			0.24			742			14
12448			24			5			0.07			742			23
12449			8			4			0.39			742			8
12450			18			3			0.05			742			17
12451			10			3			0.22			742			10
12454			23			3			0.03			742			23
12455			23			6			0.13			742			23
12456			12			4			0.2			742			11
12457			5			3			0.2			742			5
12462			20			5			0.15			742			20
12466			6			3			0.13			742			5
12467			26			5			0.07			742			24
12468			23			4			0.05			742			22
12469			24			4			0.05			742			23
12586			43			5			0.02			742			32
12587			61			4			0.05			742			23
12803			44			5			0.03			742			32
12810			39			5			0.06			742			32
12815			16			3			0.04			742			15
12817			40			4			0.03			742			30
12820			44			5			0.02			742			32
12888			41			5			0.03			742			32
12903			31			5			0.03			742			29
13099			34			4			0.02			742			30
13164			18			5			0.22			742			18
13223			69			5			0.1			742			29
13284			44			5			0.02			742			32
13509			27			5			0.04			742			27
13517			39			6			0.08			742			32
13535			30			5			0.03			742			29
13886			34			5			0.02			742			32
13894			40			5			0.03			742			31
14083			30			5			0.06			742			27
14102			93			6			0.05			742			21
14150			34			5			0.04			742			29
14319			6			3			0.2			742			5
14326			16			3			0.03			742			16
14638			150			8			0.05			742			23
14932			37			5			0.03			742			32
15294			192			9			0.05			742			22
16262			29			4			0.02			742			26
16274			36			5			0.06			742			28
16283			24			3			0.03			742			22
16390			23			3			0.03			742			22
16400			23			4			0.03			744			23
16787			47			5			0.02			747			32
16826			33			4			0.02			750			30
17089			23			3			0.04			753			23
17095			22			3			0.03			756			21
17119			21			3			0.05			759			21
17121			3			3			0.33			762			3
17137			24			5			0.04			765			24
17218			45			5			0.04			768			31
17229			18			5			0.15			771			18
17270			26			4			0.06			774			24
17485			52			7			0.08			777			30
17495			14			4			0.11			780			13
17496			6			4			0.6			780			6
17650			14			3			0.01			780			8
17774			28			4			0.03			780			26
17794			22			4			0.07			780			20
17889			48			5			0.04			780			32
17890			37			5			0.03			780			30
17982			35			5			0.06			780			25
18030			54			5			0.06			780			16
18037			114			7			0.04			780			24
19426			49			5			0.03			780			32
19429			33			4			0.09			780			27
19430			35			5			0.05			780			28
19433			22			3			0.03			780			22
19444			27			5			0.06			780			26
19446			20			4			0.14			780			20
19665			21			3			0.02			780			19
19666			22			3			0.03			780			20
19676			11			3			0.02			780			11
19686			21			4			0.03			780			21
20256			38			3			0.03			780			27
20263			44			6			0.08			780			30
20425			25			3			0.04			780			24
21159			38			4			0.02			780			32
21171			34			4			0.02			780			28
21190			40			5			0.02			780			32
21312			95			7			0.04			780			24
21426			34			4			0.02			780			31
21448			31			4			0.03			780			29
21569			33			6			0.09			780			27
22646			37			4			0.04			780			29
22668			26			4			0.03			780			23
23048			40			5			0.04			780			29
23158			27			3			0.01			780			17
23165			23			3			0.02			780			17
23323			22			3			0.03			780			7
23437			18			3			0.01			780			15
23655			12			3			0.02			780			10
24043			22			4			0.09			780			16
24098			29			5			0.03			780			29
24100			16			3			0.05			780			16
24273			24			4			0.06			780			23
24286			20			5			0.19			780			18
24299			27			4			0.03			780			23
24328			40			5			0.03			780			32
24332			8			3			0.04			780			8
24333			29			5			0.03			780			28
24440			26			3			0.04			780			23
24452			22			4			0.06			780			22
24492			26			4			0.06			780			19
24666			19			4			0.06			780			16
24719			9			4			0.31			780			5
24858			5			3			0.1			780			5
24873			31			5			0.1			780			28
24923			34			4			0.02			780			30
25266			38			5			0.06			780			32
25458			30			6			0.14			780			26
25471			44			5			0.05			780			28
25580			15			3			0.06			780			15
26599			61			5			0.04			780			22
26647			21			3			0.05			780			18
26723			38			6			0.07			780			27
26724			18			3			0.03			780			16
27192			44			5			0.03			780			32
27203			26			4			0.03			780			23
27236			6			4			0.4			780			5
27592			16			4			0.15			780			16
27851			36			5			0.03			780			32
27853			31			4			0.03			780			27
27872			30			5			0.05			780			27
27911			28			4			0.03			780			20
